address	name	signature
0x0055db0a	CFastVB__Unk_0055db0a	void __stdcall CFastVB__Unk_0055db0a(int param_1, int param_2, int param_3, void * param_4)
0x0055db72	CFastVB__Unk_0055db72	void CFastVB__Unk_0055db72(void)
0x0055e14f	CFastVB__Unk_0055e14f	void __cdecl CFastVB__Unk_0055e14f(void * param_1, int param_2)
0x0055e183	CFastVB__Unk_0055e183	int __cdecl CFastVB__Unk_0055e183(int param_1)
0x0055e1c4	CFastVB__Unk_0055e1c4	double __cdecl CFastVB__Unk_0055e1c4(void * param_1)
0x0055e2a6	CFastVB__Unk_0055e2a6	void __cdecl CFastVB__Unk_0055e2a6(void * param_1)
0x0055e45f	CFastVB__Unk_0055e45f	int __cdecl CFastVB__Unk_0055e45f(int param_1, int param_2, int param_3)
0x0055e673	CFastVB__Unk_0055e673	int __cdecl CFastVB__Unk_0055e673(int param_1)
0x0055f506	CFastVB__Unk_0055f506	uint __cdecl CFastVB__Unk_0055f506(void * param_1, uint param_2, uint param_3, void * param_4)
0x0055f5ee	CFastVB__Unk_0055f5ee	int __cdecl CFastVB__Unk_0055f5ee(int param_1, void * param_2)
0x0055f6bb	CFastVB__Unk_0055f6bb	int __cdecl CFastVB__Unk_0055f6bb(int param_1, void * param_2)
0x0055fe26	CFastVB__Unk_0055fe26	void __cdecl CFastVB__Unk_0055fe26(uint param_1)
0x0055fe55	CFastVB__Unk_0055fe55	void __cdecl CFastVB__Unk_0055fe55(int param_1, int param_2)
0x00560e28	CFastVB__Unk_00560e28	int __cdecl CFastVB__Unk_00560e28(void * param_1, int param_2, int param_3, int param_4)
0x00560e89	CFastVB__Unk_00560e89	int __cdecl CFastVB__Unk_00560e89(void * param_1, int param_2, int param_3, void * param_4, int param_5)
0x00560f4b	CFastVB__Unk_00560f4b	int __cdecl CFastVB__Unk_00560f4b(void * param_1, int param_2, int param_3)
0x00560fa0	CFastVB__Unk_00560fa0	int __cdecl CFastVB__Unk_00560fa0(void * param_1, int param_2, void * param_3, int param_4)
0x00561047	CFastVB__Unk_00561047	void __cdecl CFastVB__Unk_00561047(void * param_1, void * param_2, int param_3, int param_4)
0x00562b3e	CFastVB__Unk_00562b3e	int __cdecl CFastVB__Unk_00562b3e(int param_1, uint param_2)
0x00562c76	CFastVB__Unk_00562c76	int CFastVB__Unk_00562c76(void)
0x00563951	CFastVB__Unk_00563951	uint __thiscall CFastVB__Unk_00563951(void * this, int param_1, int param_2, uint param_3)
0x0056a089	CFastVB__Unk_0056a089	uint __thiscall CFastVB__Unk_0056a089(void * this, void * param_1, int param_2)
0x0056bba5	CFastVB__Unk_0056bba5	void __cdecl CFastVB__Unk_0056bba5(void * param_1)
0x0056bca7	CFastVB__Unk_0056bca7	uint __cdecl CFastVB__Unk_0056bca7(int param_1)
