address	name	signature
0x00403ba0	CThing__Unk_00403ba0	void __thiscall CThing__Unk_00403ba0(void * this, void * param_1, int param_2, int param_3)
0x00403bf0	CThing__Unk_00403bf0	void __thiscall CThing__Unk_00403bf0(void * this, void * param_1, int param_2, int param_3)
0x00417540	CThing__Unk_00417540	void __thiscall CThing__Unk_00417540(void * this, void * param_1, int param_2)
0x004176c0	CThing__Unk_004176c0	void __thiscall CThing__Unk_004176c0(void * this, int param_1, int param_2)
0x004f35d0	CThing__Unk_004f35d0	void __fastcall CThing__Unk_004f35d0(void * param_1)
0x004f36d0	CThing__Unk_004f36d0	void __thiscall CThing__Unk_004f36d0(void * this, int param_1, uint param_2)
0x004f3710	CThing__Unk_004f3710	void __fastcall CThing__Unk_004f3710(int param_1)
0x004f37c0	CThing__Unk_004f37c0	void __fastcall CThing__Unk_004f37c0(void * param_1)
0x004f3970	CThing__Unk_004f3970	void __thiscall CThing__Unk_004f3970(void * this, void * param_1, int param_2)
0x004f39b0	CThing__Unk_004f39b0	void __thiscall CThing__Unk_004f39b0(void * this, int param_1, void * param_2)
0x004f3a70	CThing__Unk_004f3a70	void __fastcall CThing__Unk_004f3a70(int param_1)
0x004f3ac0	CThing__Unk_004f3ac0	void __thiscall CThing__Unk_004f3ac0(void * this, int param_1, void * param_2)
0x004f3c80	CThing__Unk_004f3c80	double __thiscall CThing__Unk_004f3c80(void * this, int param_1, int param_2, int param_3)
0x004f3d10	CThing__Unk_004f3d10	int __fastcall CThing__Unk_004f3d10(int param_1)
0x004f3de0	CThing__Unk_004f3de0	int __fastcall CThing__Unk_004f3de0(int param_1)
0x004f4430	CThing__Unk_004f4430	int __fastcall CThing__Unk_004f4430(void * param_1)
0x004f4480	CThing__Unk_004f4480	void __thiscall CThing__Unk_004f4480(void * this, int param_1, int param_2)
