target_addr	target_name	from_addr	from_function	ref_type
004015e0	CUnit__Unk_004015e0	00408f6b	CMonitor__Unk_004081c0	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004fa91b	CUnit__Unk_004fa8d0	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	005d8554	<no_function>	DATA
004015e0	CUnit__Unk_004015e0	0044ad99	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	0044cc16	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004bc03e	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004d7e1b	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004d91ff	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004df737	<no_function>	UNCONDITIONAL_CALL
00402010	CUnit__Unk_00402010	00403763	CUnitAI__Helper_00403760	UNCONDITIONAL_CALL
00402010	CUnit__Unk_00402010	0040816e	CUnit__Unk_00408150	UNCONDITIONAL_CALL
00402010	CUnit__Unk_00402010	004081aa	CUnit__Unk_00408150	UNCONDITIONAL_CALL
00402010	CUnit__Unk_00402010	00428c73	CUnitAI__Unk_00428c70	UNCONDITIONAL_CALL
00402010	CUnit__Unk_00402010	004d9efa	CEngine__Unk_004d9ef0	UNCONDITIONAL_CALL
00402010	CUnit__Unk_00402010	005d8560	<no_function>	DATA
00402010	CUnit__Unk_00402010	005d8fc8	<no_function>	DATA
00402010	CUnit__Unk_00402010	005d9220	<no_function>	DATA
00402010	CUnit__Unk_00402010	005dd89c	<no_function>	DATA
00402010	CUnit__Unk_00402010	005dd704	<no_function>	DATA
00402010	CUnit__Unk_00402010	005dd56c	<no_function>	DATA
00402010	CUnit__Unk_00402010	005dc944	<no_function>	DATA
00402010	CUnit__Unk_00402010	005dee5c	<no_function>	DATA
00402010	CUnit__Unk_00402010	005dfaac	<no_function>	DATA
