address	name	signature
0x00504a50	CVBufTexture__Unk_00504a50	void __fastcall CVBufTexture__Unk_00504a50(void * param_1)
0x00504b40	CVBufTexture__Unk_00504b40	void __fastcall CVBufTexture__Unk_00504b40(int param_1)
0x00504cf0	CVBufTexture__Unk_00504cf0	int __fastcall CVBufTexture__Unk_00504cf0(int param_1)
0x00504d30	CVBufTexture__Unk_00504d30	bool __fastcall CVBufTexture__Unk_00504d30(int param_1)
0x0050a870	CVBufTexture__Unk_0050a870	void __fastcall CVBufTexture__Unk_0050a870(void * param_1)
0x0050a9c0	CVBufTexture__Unk_0050a9c0	void * __fastcall CVBufTexture__Unk_0050a9c0(void * param_1)
0x0050ab60	CVBufTexture__Unk_0050ab60	void CVBufTexture__Unk_0050ab60(void)
0x00511bc0	CVBufTexture__Unk_00511bc0	int * __thiscall CVBufTexture__Unk_00511bc0(void * this, int param_1, int param_2, int param_3)
0x00511c10	CVBufTexture__Unk_00511c10	void __thiscall CVBufTexture__Unk_00511c10(void * this, int param_1, void * param_2)
0x00511ca0	CVBufTexture__Unk_00511ca0	void __fastcall CVBufTexture__Unk_00511ca0(int param_1)
0x00511d20	CVBufTexture__Unk_00511d20	void __fastcall CVBufTexture__Unk_00511d20(void * param_1)
0x00512040	CVBufTexture__Unk_00512040	int CVBufTexture__Unk_00512040(void)
0x00512470	CVBufTexture__Unk_00512470	void __fastcall CVBufTexture__Unk_00512470(int param_1)
0x00512490	CVBufTexture__Unk_00512490	int __thiscall CVBufTexture__Unk_00512490(void * this, void * param_1, bool param_2)
0x00512630	CVBufTexture__Unk_00512630	void __fastcall CVBufTexture__Unk_00512630(int param_1)
0x00512ca0	CVBufTexture__Unk_00512ca0	void __stdcall CVBufTexture__Unk_00512ca0(int param_1)
0x00512fc0	CVBufTexture__Unk_00512fc0	void __fastcall CVBufTexture__Unk_00512fc0(int param_1)
0x005230e0	CVBufTexture__Unk_005230e0	int * __fastcall CVBufTexture__Unk_005230e0(int param_1)
0x005234e0	CVBufTexture__Unk_005234e0	int __stdcall CVBufTexture__Unk_005234e0(int param_1, uint param_2, uint param_3)
0x00523b30	CVBufTexture__Unk_00523b30	void CVBufTexture__Unk_00523b30(void)
0x00523bc0	CVBufTexture__Unk_00523bc0	uint __cdecl CVBufTexture__Unk_00523bc0(float param_1, float param_2, float param_3, float param_4, int param_5)
0x00523cc0	CVBufTexture__Unk_00523cc0	uint __cdecl CVBufTexture__Unk_00523cc0(float param_1, float param_2, float param_3, float param_4)
0x00523d40	CVBufTexture__Unk_00523d40	uint __cdecl CVBufTexture__Unk_00523d40(float param_1, float param_2, float param_3, float param_4)
0x00523df0	CVBufTexture__Unk_00523df0	int __fastcall CVBufTexture__Unk_00523df0(int param_1)
0x00524180	CVBufTexture__Unk_00524180	int __thiscall CVBufTexture__Unk_00524180(void * this, void * param_1, void * param_2, uint param_3)
0x00527c90	CVBufTexture__Unk_00527c90	int __thiscall CVBufTexture__Unk_00527c90(void * this, void * param_1, int param_2, int param_3)
0x00527da0	CVBufTexture__Unk_00527da0	void __fastcall CVBufTexture__Unk_00527da0(int param_1)
0x00528b60	CVBufTexture__Unk_00528b60	int __stdcall CVBufTexture__Unk_00528b60(void * param_1)
0x0053c510	CVBufTexture__Unk_0053c510	void __thiscall CVBufTexture__Unk_0053c510(void * this, int param_1, int param_2)
0x0053f0a0	CVBufTexture__Unk_0053f0a0	void __fastcall CVBufTexture__Unk_0053f0a0(void * param_1)
