address	name	xref_count	owners	top_counts	unambiguous_non_ctexture
0x0055d6d4	CTexture__Unk_0055d6d4	2	CDXTexture,CTexture	CDXTexture:1;CTexture:1	false
0x0055d731	CTexture__Unk_0055d731	512			false
0x0055d896	CTexture__Unk_0055d896	1	CDXTexture	CDXTexture:1	true
0x0055def0	CTexture__Unk_0055def0	40	CConsole,CCutscene,CDXEngine,CDXFont,CDXTexture,CExplosionInitThing,CFEPLanguageTest,CFastVB,CLIParams,CLTShell,CMemoryManager,CMeshCollisionVolume,CTexture,CVBufTexture,CWaterRenderSystem,CWorld,DXPalletizer,FrontendUpdate_CheatChecks	CDXTexture:10;CTexture:7;CDXEngine:3;CMemoryManager:2;CConsole:1;CCutscene:1;CDXFont:1;CExplosionInitThing:1;CFEPLanguageTest:1;CFastVB:1;CLIParams:1;CLTShell:1;CMeshCollisionVolume:1;CVBufTexture:1;CWaterRenderSystem:1;CWorld:1;DXPalletizer:1;FrontendUpdate_CheatChecks:1	false
0x0055dfe7	CTexture__Unk_0055dfe7	98	CCareer,CDXEngine,CDXFont,CDXMeshVB,CEngine,CEventManager,CExplosionInitThing,CFEPLanguageTest,CFEPLevelSelect,CFEPMultiplayerStart,CHeightField,CMCBuggy,CMCMech,CMCTentacle,CMapWho,CMeshPart,CMessageLog,CPDSelector,CPolyBucket,CStaticShadows,CTexture,CUnitAI,CWorld,OID,TOTAL_S_GRADES	CDXEngine:31;CPolyBucket:6;CMCMech:5;CFEPLevelSelect:4;CMeshPart:4;OID:4;CExplosionInitThing:3;CMessageLog:3;CCareer:2;CDXFont:2;CEngine:2;CFEPMultiplayerStart:2;CHeightField:2;CMapWho:2;CPDSelector:2;CStaticShadows:2;CWorld:2;CDXMeshVB:1;CEventManager:1;CFEPLanguageTest:1;CMCBuggy:1;CMCTentacle:1;CTexture:1;CUnitAI:1;TOTAL_S_GRADES:1	false
0x0055e64e	CTexture__Unk_0055e64e	67	CDXEngine,CFEPDevelopment,CFEPDirectory,CFEPLoadGame,CFEPOptions,CFEPSaveGame,CFEPVirtualKeyboard,CMenuItem,CMenuItemDropdown,CMessage,CUnitAI,ControlsUI,EnumerateSaveFiles_2,IScript,PCPlatform	CUnitAI:15;CDXEngine:13;CFEPSaveGame:8;ControlsUI:4;CFEPLoadGame:3;CFEPVirtualKeyboard:3;CFEPDevelopment:2;CFEPDirectory:2;CFEPOptions:2;CMenuItem:2;CMenuItemDropdown:1;CMessage:1;EnumerateSaveFiles_2:1;IScript:1;PCPlatform:1	false
0x0055eb3d	CTexture__Unk_0055eb3d	15	CDXEngine,CEngine,CSquadNormal,CWorld	CDXEngine:4;CEngine:4;CWorld:4;CSquadNormal:2	false
0x0055ec4a	CTexture__Unk_0055ec4a	1		:1	true
0x0055ed50	CTexture__Unk_0055ed50	10	CDXTexture,CFastVB,CMemoryManager,CTexture,CVBufTexture	CTexture:4;CDXTexture:2;CFastVB:2;CMemoryManager:1;CVBufTexture:1	false
0x0055f2e8	CTexture__Unk_0055f2e8	3	CDropship,CFEPOptions,CFEPVirtualKeyboard	CDropship:1;CFEPOptions:1;CFEPVirtualKeyboard:1	false
0x0055f783	CTexture__Unk_0055f783	5	EnumerateSaveFiles_1,EnumerateSaveFiles_2,EnumerateSaveFiles_Main	EnumerateSaveFiles_2:2;EnumerateSaveFiles_Main:2;EnumerateSaveFiles_1:1	false
0x0056080d	CTexture__Unk_0056080d	1	CDXTexture	CDXTexture:1	true
0x00560a49	CTexture__Unk_00560a49	2	CDXTexture,CTexture	CDXTexture:1;CTexture:1	false
0x00560ab0	CTexture__Unk_00560ab0	4	CDXTexture	CDXTexture:4	true
0x00560b2c	CTexture__Unk_00560b2c	1	entry	entry:1	true
0x00560b80	CTexture__Unk_00560b80	2	CDXTexture,CTexture	CDXTexture:1;CTexture:1	false
0x00561150	CTexture__Unk_00561150	1	CTexture	CTexture:1	false
0x00561179	CTexture__Unk_00561179	39	CDXTexture,CEngine,CFastVB,CMeshCollisionVolume,CTexture,stricmp,type_info	CDXTexture:16;CTexture:14;CFastVB:3;CEngine:2;CMeshCollisionVolume:2;stricmp:1;type_info:1	false
0x0056171c	CTexture__Unk_0056171c	10	CDXTexture,CFastVB,ControlsUI,sprintf,vsprintf	CDXTexture:5;ControlsUI:2;CFastVB:1;sprintf:1;vsprintf:1	false
0x0056202e	CTexture__Unk_0056202e	3	CDXTexture	CDXTexture:3	true
0x00562a89	CTexture__Unk_00562a89	4	CDXTexture,CTexture	CDXTexture:3;CTexture:1	false
0x00562c99	CTexture__Unk_00562c99	5	CDXTexture	CDXTexture:5	true
0x00564486	CTexture__Unk_00564486	2	CTexture	CTexture:2	false
0x0056468c	CTexture__Unk_0056468c	1			false
0x00564b54	CTexture__Unk_00564b54	2	CDXTexture	CDXTexture:2	true
0x00564ba5	CTexture__Unk_00564ba5	2			false
0x00564f7a	CTexture__Unk_00564f7a	5	,CDXTexture,CTexture	CDXTexture:3;:1;CTexture:1	false
0x00564fdf	CTexture__Unk_00564fdf	1			false
0x0056585a	CTexture__Unk_0056585a	2	CFastVB,ControlsUI	CFastVB:1;ControlsUI:1	false
0x0056586a	CTexture__Unk_0056586a	3	CTexture	CTexture:3	false
0x00565ab0	CTexture__Unk_00565ab0	3	CTexture	CTexture:3	false
0x00565bcb	CTexture__Unk_00565bcb	2	CTexture	CTexture:2	false
